Prince of Persia: The Sands of Time,3.6,1.81,1.4600000000000002,0,0.36,3.63
Alan Wake,3.6,0.66,0.51,0.05,0.13,1.35
Mega Man ZX Advent,3.6,0.23,0,0.09,0.02,0.35
Armored Core 2,3.6,0.28,0.22,0.23,0.07,0.79
Kingdom Hearts,3.6,13.620000000000001,4.71,5.22,0.9299999999999999,24.450000000000003
Crazy Taxi,3.6,2.59,1.7200000000000002,0.19999999999999998,0.31,4.82
God of War,3.6,2.71,1.29,0.02,0.43,4.45
Metal Gear Solid: The Twin Snakes,3.6,0.3,0.08,0.07,0.01,0.47
LEGO Marvel Super Heroes,3.6,8.819999999999997,8.279999999999998,0.15999999999999998,2.460000000000001,19.719999999999995
Kirby's Adventure,3.6,1.58,0.28,1.6,0.04,3.5
Left 4 Dead,3.6,2.66,0.5,0.05,0.3,3.52
Mortal Kombat,3.6,6.029999999999999,1.6900000000000002,0,0.68,8.389999999999999
Castlevania III: Dracula's Curse,3.6,0.4,0.07,0.37,0.01,0.85
Sonic Rush,3.6,1.22,1.57,0.06,0.29,3.15
Ultimate Spider-Man,3.6,1.5099999999999998,0.28,0,0.15000000000000002,1.94
The Witcher 2: Assassins of Kings,3.6,0.73,0.92,0.02,0.22999999999999998,1.9
Sonic Adventure 2,3.6,0,0,0.12,0,0.12
Fable II,3.6,2.51,1.27,0.11,0.41,4.31
Deus Ex: Mankind Divided,3.5,0.18,0.24,0,0.060000000000000005,0.48
Gears of War,3.5,3.54,1.9,0.07,0.6,6.11
MadWorld,3.5,0.46,0.25,0.02,0.07,0.8
World of Warcraft,3.5,0.07,6.21,0,0,6.28
Metal Gear Solid: Peace Walker,3.5,0.46,0.42,0.96,0.25,2.09
Crash Bandicoot,3.5,3.23,2.35,0.94,0.3,6.82
Mega Man 7,3.5,0.03,0.01,0.23,0.01,0.28
Binary Domain,3.5,0.18,0.15000000000000002,0.16,0.05,0.52
Mario Kart 64,3.5,5.55,1.94,2.23,0.15,9.87
Super Mario 3D Land,3.5,4.89,2.99,2.13,0.78,10.79
Mario Kart 7,3.5,4.74,3.91,2.67,0.89,12.21
Brothers: A Tale of Two Sons,3.5,0.03,0.08,0,0.02,0.13
BioShock Infinite,3.5,2.2199999999999998,1.5599999999999998,0.06,0.5399999999999999,4.39
New Super Mario Bros. Wii,3.5,29.18,14.12,9.4,4.52,57.24
New Super Mario Bros.,3.5,22.76,18.46,13,5.8,60.02
Super Mario Bros.,3.5,32.48,4.88,6.96,0.99,45.31
Mario Power Tennis,3.5,0.58,0.16,0.46,0.03,1.22
Mario Party 4,3.5,1.13,0.36,0.92,0.07,2.47
Sonic Rush Adventure,3.5,0.54,0.49,0.01,0.12,1.17
Mirror's Edge,3.5,0.8200000000000001,1.1,0.03,0.35,2.3099999999999996
Sunset Overdrive,3.5,0.62,0.4,0,0.08,1.11
Prince of Persia: Warrior Within,3.5,1.17,1.2000000000000002,0,0.27,2.64
LEGO Batman 2: DC Super Heroes,3.5,3.4,2.31,0,0.6500000000000001,6.369999999999999
No More Heroes 2: Desperate Struggle,3.5,0.42,0.24,0.08,0.06,0.82
Naruto Shippuden: Ultimate Ninja Storm 4,3.5,0.5800000000000001,0.47,0.1,0.19,1.34
The Walking Dead: Season Two,3.5,0.41000000000000003,0.3,0.02,0.13,0.87
Star Wars: Battlefront,3.5,3.23,1.79,0.03,0.53,5.56
Danganronpa: Trigger Happy Havoc,3.5,0.14,0.07,0.15,0.06,0.41
Condemned: Criminal Origins,3.5,0.36,0.03,0,0.03,0.42
Devil May Cry,3.5,1.36,0.86,0.64,0.13,2.99
Naruto: Ultimate Ninja 3,3.5,0.36,0.01,0,0.06,0.44
